公司,代號,股價 (50 Days ago),股價 (Today),漲幅
聯陽,3014,147.00,158.50,7.82%
全漢,3015,60.70,69.00,13.67%
嘉晶,3016,46.00,44.30,-3.70%
奇鋐,3017,627.00,528.00,-15.79%
隆銘綠能,3018,27.30,27.05,-0.92%
亞光,3019,177.00,203.00,14.69%
鴻名,3021,26.70,25.70,-3.75%
威強電,3022,80.50,107.50,33.54%
信邦,3023,275.50,300.50,9.07%
憶聲,3024,19.10,18.55,-2.88%
星通,3025,88.00,68.90,-21.70%
禾伸堂,3026,85.60,87.80,2.57%
盛達,3027,29.15,31.00,6.35%
增你強,3028,28.60,30.95,8.22%
零壹,3029,131.50,144.50,9.89%
德律,3030,117.00,133.50,14.10%
佰鴻,3031,24.05,24.30,1.04%
偉訓,3032,88.80,93.90,5.74%
威健,3033,33.90,34.75,2.51%
聯詠,3034,496.00,552.00,11.29%
智原,3035,243.00,239.00,-1.65%
文曄,3036,113.00,104.00,-7.96%
欣興,3037,151.50,129.50,-14.52%
全台,3038,27.65,29.10,5.24%
遠見,3040,54.40,53.50,-1.65%
揚智,3041,37.65,34.85,-7.44%
晶技,3042,104.50,102.50,-1.91%
科風,3043,34.75,35.55,2.30%
健鼎,3044,199.50,204.50,2.51%
台灣大,3045,113.00,113.50,0.44%
建碁,3046,48.60,53.10,9.26%
訊舟,3047,29.80,28.60,-4.03%
益登,3048,30.40,30.15,-0.82%
精金,3049,9.07,9.02,-0.55%
鈺德,3050,17.20,17.40,1.16%
力特,3051,33.85,30.20,-10.78%
夆典,3052,11.40,11.90,4.39%
立萬利,3054,24.75,22.15,-10.51%
蔚華科,3055,71.40,79.30,11.06%
富華新,3056,33.70,36.55,8.46%
喬鼎,3057,11.35,11.80,3.96%
立德,3058,15.95,15.30,-4.08%
華晶科,3059,38.00,49.10,29.21%
銘異,3060,23.90,24.75,3.56%
建漢,3062,33.20,32.10,-3.31%
日電貿,3090,68.30,70.50,3.22%
鴻碩,3092,27.70,28.45,2.71%
聯傑,3094,29.10,30.30,4.12%
一零四,3130,220.00,228.50,3.86%
耀登,3138,111.00,111.50,0.45%
正達,3149,34.00,35.80,5.29%
景岳,3164,20.20,20.40,0.99%
大量,3167,103.00,100.00,-2.91%
眾福科,3168,46.30,47.65,2.92%
景碩,3189,109.50,105.00,-4.11%
全科,3209,34.50,37.45,8.55%
晟鈦,3229,17.85,18.15,1.68%
緯創,3231,106.50,112.00,5.16%
虹冠電,3257,54.40,58.70,7.90%
昇陽,3266,16.95,16.70,-1.47%
勝德,3296,29.80,28.00,-6.04%
昇貿,3305,64.00,68.90,7.66%
聯德,3308,23.20,22.70,-2.16%
閎暉,3311,34.10,38.25,12.17%
弘憶股,3312,52.80,54.00,2.27%
同泰,3321,15.95,14.95,-6.27%
泰碩,3338,63.30,60.80,-3.95%
麗清,3346,34.95,34.90,-0.14%
奇偶,3356,57.20,58.90,2.97%
新日興,3376,201.50,291.50,44.67%
明泰,3380,34.25,35.80,4.53%
玉晶光,3406,485.00,476.00,-1.86%
京鼎,3413,313.00,324.00,3.51%
融程電,3416,180.00,175.50,-2.50%
譁裕,3419,19.10,18.30,-4.19%
台端,3432,17.05,16.65,-2.35%
榮創,3437,23.25,21.60,-7.10%
創意,3443,"1,340.00","1,410.00",5.22%
展達,3447,63.30,65.50,3.48%
聯鈞,3450,276.50,288.50,4.34%
晶睿,3454,113.50,137.00,20.70%
群創,3481,14.10,15.05,6.74%
誠研,3494,19.15,18.85,-1.57%
維熹,3501,60.40,62.90,4.14%
揚明光,3504,59.70,69.30,16.08%
華擎,3515,249.00,250.50,0.60%
柏騰,3518,26.50,23.40,-11.70%
安馳,3528,51.10,53.30,4.31%
晶相光,3530,89.10,86.00,-3.48%
台勝科,3532,94.00,97.30,3.51%
嘉澤,3533,"1,830.00","1,745.00",-4.64%
晶彩科,3535,53.00,47.20,-10.94%
州巧,3543,23.25,22.80,-1.94%
敦泰,3545,79.60,81.60,2.51%
聯穎,3550,17.65,17.05,-3.40%
嘉威,3557,71.60,67.60,-5.59%
牧德,3563,382.00,417.50,9.29%
聯合再生,3576,10.00,10.30,3.00%
辛耘,3583,392.50,354.00,-9.81%
通嘉,3588,67.00,67.30,0.45%
艾笛森,3591,25.45,24.40,-4.13%
瑞鼎,3592,392.00,389.50,-0.64%
力銘,3593,6.82,7.55,10.70%
智易,3596,177.00,187.50,5.93%
宏致,3605,49.55,64.40,29.97%
谷崧,3607,18.70,17.30,-7.49%
碩天,3617,373.00,318.00,-14.75%
洋華,3622,60.30,63.50,5.31%
達邁,3645,54.80,74.60,36.13%
精聯,3652,38.00,39.15,3.03%
健策,3653,"1,465.00","1,265.00",-13.65%
世芯-KY,3661,"3,095.00","3,305.00",6.79%
貿聯-KY,3665,628.00,634.00,0.96%
圓展,3669,42.50,43.25,1.76%
TPK-KY,3673,38.45,39.90,3.77%
新至陞,3679,133.50,156.50,17.23%
達能,3686,19.65,19.25,-2.04%
海華,3694,57.10,61.40,7.53%
大眾控,3701,44.25,38.90,-12.09%
大聯大,3702,71.40,70.60,-1.12%
欣陸,3703,30.00,31.95,6.50%
合勤控,3704,38.90,40.15,3.21%
永信,3705,54.10,54.30,0.37%
神達,3706,69.30,70.00,1.01%
上緯投控,3708,90.20,88.00,-2.44%
日月光投控,3711,166.00,176.50,6.33%
永崴投控,3712,61.90,65.50,5.82%
富采,3714,45.85,45.80,-0.11%
定穎投控,3715,61.00,62.50,2.46%
中化控股,3716,37.30,39.10,4.83%
佳醫,4104,85.50,86.90,1.64%
雃博,4106,24.65,25.40,3.04%
懷特,4108,16.95,16.80,-0.88%
旭富,4119,90.70,86.90,-4.19%
亞諾法,4133,29.70,30.35,2.19%
麗豐-KY,4137,112.00,121.50,8.48%
國光生,4142,20.10,24.00,19.40%
全宇生技-KY,4148,49.50,46.90,-5.25%
訊映,4155,19.95,21.35,7.02%
承業醫,4164,43.15,59.20,37.20%
佐登-KY,4190,45.00,45.60,1.33%
炎洲,4306,17.05,17.90,4.99%
如興,4414,3.13,3.86,23.32%
利勤,4426,10.80,15.95,47.69%
廣越,4438,99.90,104.00,4.10%
冠星-KY,4439,104.00,102.00,-1.92%
宜新實業,4440,23.70,23.85,0.63%
東台,4526,32.70,35.00,7.03%
瑞智,4532,24.40,28.65,17.42%
